Designator,Mid X,Mid Y,Rotation,Layer
C1,130.6,-80.8,270.0,bottom
C2,126.0,-79.8,180.0,top
C3,115.9,-83.4,180.0,bottom
C4,120.6,-84.7625,90.0,bottom
C5,177.8,-91.0,180.0,bottom
C6,181.0,-104.2,180.0,top
C7,175.6,-102.8,180.0,top
C8,123.19,-74.195,180.0,bottom
J2,170.25,-78.4,180.0,bottom
R1,173.4,-91.0,0.0,bottom
R2,132.0,-122.4,90.0,top
R3,123.6,-125.67,180.0,top
R4,115.0,-90.11,180.0,bottom
R5,115.0,-87.57,180.0,bottom
R7,123.8,-87.57,0.0,bottom
R8,120.6,-88.6,270.0,bottom
SW1,159.256526,-130.402377,180.0,top
SW2,179.55,-130.35,180.0,top
SW3,138.959177,-130.402377,180.0,top
U2,172.905,-99.401022,180.0,top
U3,119.38,-66.325,0.0,top
